County,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,1863,1862,1861,1860
San Francisco,3283,3811,4924,2678,7447,8164,8646,7653,7904,9101,15625,16574,17275,21200,32174,18616,17245,13520,11505,16675,12714,73378,74131,63924,64083,56681,56694,54679,54628,53599,55842,60337,46390,20710,62674,63145,65642,61628,60478,55896,56294,57036,54057,54904,47416,46210,46631,48745,51315,50429,50272,53771,55001,47081,53766,57723,60167,57490,56689,52655,53760,55029,56299,52372,53499,17107,49472,41615,46293,45667,43703,42413,41321,42653,40838,38535,35284,33563,35376,35740,37119,39960,35040,36676,38467,37050,38585,40269,37019,37999,43564,43577,49478,48526,46636,44576,39764,35585,54124,57578,52119,57642,61888,56699,56334,56526,53754,48119,79076,83565,85128,80626,77681,66860,64797,62390,75056,72551,62379,61365,56028,52626,43415,46251,40609,42979,42652,32243,32984,31683,30612,26851,14188,12554,12941,9255,7642,7297,6456,6178,4553,4837,4277,2795,4265,2739,4312,4370,4605,4276,4128,3695,4751,3949,2350,2145,2625,,,,,
Sacramento,14451,17167,20464,12271,34888,45345,68637,50938,39238,34415,52121,109417,132794,159085,174809,195492,205676,200787,190529,169962,115610,124596,118918,115237,116749,119256,123807,128499,123707,122807,122394,123045,80745,36895,105817,94154,92197,86498,78684,71805,70441,69942,65358,62472,60480,61931,63134,67761,70122,70178,80893,82769,84509,80218,57932,48422,46480,48185,44009,41658,42279,42812,42034,36549,33969,10211,29240,30383,29075,26461,23043,23778,23066,26740,21056,16585,15330,19339,22017,22878,19044,18098,17073,15860,20720,20488,19197,17124,15541,15680,15557,16242,14993,15390,14743,13958,15798,19607,19747,19062,19877,18927,17260,15772,16039,15803,14404,12570,13834,15306,13840,12498,11507,11186,9722,8898,7545,6187,4982,4384,4034,4391,9448,9753,9440,9006,6668,6138,5858,5712,5488,5486,5152,5240,4805,5107,5411,4923,3894,4766,3552,5241,2107,1443,1737,1617,1557,1553,1662,1617,1631,1762,1610,1850,1758,1802,1824,1523,1830,1692,1757,1790
San Joaquin,,,,,,,,,,,,,,,2948,5591,5133,6152,6367,5440,3973,4044,4161,3821,3757,3093,2780,2559,2253,2388,2980,2988,2157,1119,1861,2559,1301,1406,2185,1353,2100,2188,2080,1990,2037,4001,4765,4535,4410,4496,4164,4329,4335,4100,3653,3370,3029,2871,2933,2601,2571,2476,2207,2270,2190,745,2069,2089,2033,7631,7160,6812,6128,5049,6393,5761,4845,4940,4625,882,894,925,916,932,3186,6855,7565,8172,1120,1371,1316,6583,9563,9420,9244,8740,5905,7544,11359,10254,8946,9536,9362,7549,6704,6443,10257,9794,10587,10170,9217,7353,6914,6746,6424,5291,6592,6199,6056,5433,6103,5934,5872,4708,5359,5063,4385,1853,3029,2746,2002,1705,1470,1176,1646,1723,1671,1596,1347,1516,1650,1329,,,,,556,1404,1298,1312,1347,1421,1453,1366,1356,901,739,,,,,
Los Angeles,25221,28845,42846,23270,48115,54878,56828,69333,62508,70448,69100,74896,86339,119704,150163,160564,171141,147587,117699,108131,241228,274922,281518,319652,287528,268611,290163,305007,139937,337900,338683,266105,171793,72770,228508,250215,246969,220370,197895,189991,189706,194767,186190,183001,323314,283380,240317,257446,280332,254861,241535,241108,276364,318754,270475,294098,313437,325293,325584,315001,332852,335260,318252,302253,288121,93235,278224,266353,237739,250944,251441,250042,232092,207894,186724,173776,152420,126405,145630,147403,144616,138027,127064,124776,130665,134415,131051,121884,123615,132720,156919,153652,147247,124153,113482,149121,144044,142973,138308,109228,99045,96056,78844,70222,66162,67668,66342,68192,71880,73136,62238,85043,66951,58903,60211,60530,54996,31639,28847,24879,21957,19960,18685,25515,21430,19918,18733,15443,14074,15000,14395,12827,10436,12189,10428,6149,2986,3628,3464,3251,2042,1478,2805,2311,2653,3680,4821,4603,1879,2443,2651,2148,1602,318,424,433,418,712,814,633,674,432
Santa Cruz,,,,,,,,,,,,,,,,,5174,21415,21145,21322,21266,21728,20972,20725,20435,20744,19810,19297,26158,33990,35962,35624,25285,10799,33188,32660,27679,22475,25711,22726,23478,25039,25214,23983,21922,19171,18009,19097,19823,17476,16307,15773,15411,15428,15667,15843,15916,15257,14043,13901,13509,12894,12183,12438,12100,3987,11236,10677,10747,10670,9943,3287,9062,9024,8442,8323,13511,12024,12767,12932,14176,11731,13169,12028,12480,13204,11357,11560,10765,13188,6446,6803,6587,6129,5279,4984,4898,4739,4754,4799,4309,4361,4067,4310,3844,3729,3535,3612,4501,3182,6117,6964,5376,6009,10288,11478,10818,6594,5267,4967,5597,5057,5463,5648,5437,4629,3511,3248,3914,4158,3844,3940,3416,3126,2931,3394,3326,2537,1046,447,402,492,536,332,595,527,532,452,411,668,684,380,394,418,691,550,417,429,422,353,,
Yuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7585,7581,8171,,,,,,,,,,,,5275,4949,5883,5640,5732,5499,5647,5799,5885,5797,5621,5160,4538,4155,5331,5326,7811,5763,1680,,3641,3860,3622,1799,,,,,,,2148,3191,3126,2824,2838,2656,2793,2878,2765,2780,3046,2932,2921,3155,2905,2966,2921,2521,1720,1682,1679,1797,1592,1548,1539,1547,1423,1393,,644,1347,257,,,,,,,,,,,,,,,,,,,36,1160,1185,1244,1854,2231
Sonoma,,,832,879,1588,2779,2768,3265,4409,4170,4077,3760,3491,3775,4284,4394,4723,5495,5398,5339,6070,5994,6662,5422,6761,43504,47273,48036,47562,48772,48906,50559,36678,15610,44699,44551,44655,41035,41004,41548,42959,45006,44716,43331,37758,38254,33935,33619,35506,35801,33744,35640,33258,34476,32243,33235,30858,27148,26260,25864,24241,24852,24987,23193,24842,7780,22075,21129,21217,22061,23358,24536,26327,24035,23416,21833,16490,17771,19908,20089,21629,23138,22939,22708,23465,22831,21027,20023,17792,19161,20328,19948,17074,21012,18409,19845,18904,18899,19050,11622,11677,11261,10610,8330,8181,8213,8090,6720,6998,8410,11126,9607,9794,9309,9606,8399,9321,6136,4609,4528,3153,4423,3963,2245,2157,1773,1782,895,962,336,624,617,366,903,1119,980,1010,982,992,1277,1472,1831,1303,916,1556,1038,812,710,1588,619,548,536,470,369,341,319,297,337,684,656,910,493
Placer,,,,,,,,,,,,,,,,,,7503,15623,13688,12411,12826,10754,7059,9080,10272,10591,10419,11004,12167,12536,11835,9115,5102,27590,26072,26311,25250,27752,26620,26544,21274,15222,14474,14157,11964,10527,9881,9716,9950,8807,8995,8828,9180,9511,9426,9405,9210,9282,9343,8945,8142,7935,8266,8559,2415,7467,7288,5937,5584,5272,5375,5834,5502,5139,4991,4677,2656,2654,3332,5276,5715,4091,3936,5106,3896,3678,3319,3349,4068,3895,3640,3396,3332,3126,3187,3392,2466,1903,1820,1648,1711,1536,1522,1324,1257,1403,1401,1656,1009,941,1019,964,1058,764,693,691,678,,558,568,698,504,630,597,586,600,555,581,,,521,,551,495,529,471,658,521,679,515,534,563,355,524,511,285,271,,288,298,285,204,176,210,274,278,326,339,314,342,436
Contra Costa,,,,,,,,,,,,,,,,,1071,2153,2170,2175,2170,2373,2377,2441,2882,2420,2471,2496,2545,2578,2595,3058,2737,,,,,,,,,,,18910,26496,26929,19295,21596,24674,24376,24862,26681,23992,21885,18978,20945,19246,15721,11095,9613,9058,8648,7872,6626,11466,3656,9536,8770,7433,7032,6529,6445,5333,5587,5533,5824,4633,4319,4485,4459,4963,4475,6673,9552,4978,5349,5015,4858,3868,3724,3648,3587,3812,1915,3143,2043,2465,2278,2523,2406,2379,4967,5001,4376,4188,4829,5186,5196,4729,4708,3532,2358,1573,1576,1636,465,673,510,443,507,509,508,515,295,303,267,251,262,250,484,486,536,492,476,238,261,233,237,232,246,203,237,236,149,231,232,240,229,229,227,220,216,217,212,217,222,215,219,219,226,216,161
Butte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,486,273,48972,44147,42420,40310,32843,25453,27437,25559,24344,24409,24564,20706,19270,19023,18659,20123,19893,19362,18964,18701,17465,18211,18620,20111,17378,16503,16051,15793,14380,14910,13904,4524,13208,12266,12375,12018,12253,12741,12162,16153,14530,12883,10231,9571,9232,10717,11038,10390,10075,11220,11812,11062,11529,11082,10089,10743,11452,11741,12736,12265,10670,9479,9056,9203,6808,6143,8540,7600,5336,5020,5996,6115,6113,4892,6031,5998,6040,6062,5814,4890,6784,5475,4521,2623,2703,1902,1885,1903,1772,1770,1664,1261,1386,862,516,930,2436,848,1025,1113,1288,519,522,530,659,632,563,701,480,317,294,266,301,,,118,44,,,207,255,228,36,,,133,238,265
