"","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Alameda",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.895255147717099,0.323939099449304,0.299222022740874,0,0,0.992309600595386,2.02511138112596,1.42775556824672,1.11607142857143,0.789473684210526,0.564493367202935,0.256673511293635,0.740557886941496,0.167588402882521,0.171850833476542,0.326317506934247,0.541809644211667,0.321130378933847,0.274649821477616,0.306184935701164,0.263261813873898,0,0.19698611247907,0.106507615294494,0.246883100851747,0.18019641409136,0.0835840855901036,0.0774233508826262,0.0707263597142655,0.0650321909345126,0.0555401277422938,0,0.0926354793886058,0.172577444128052,2.00748947998301,0.761643626946952,0.238103336848192,0.072337962962963,0.184229918938836,0,0.0526315789473684,0,0.0691754288876591,0,0,0.0612219909391453,0.0445037828215398,0.0377943232926415,0.0364391648143425,0,0.0358770135973882,0.101736299511666,0.0338833734286586,0.0328450371148919,0,0.0299141463998325,0,0.0399042298483639,0.038501520810072,0.220005866823115,0,0,0.0716614712100039,0.0357015351660121,0,0.0687119936784966,0,0.0365523795599094,0.0308508669093602,0,0,0.106063284426374,0.0345614156355844,0.0303177298083919,0,0,0.0263088660878716,0,0.0256739409499358,0,0.0231358304606344,0.139227288548556,0.0224210219501805,0.0747551767959931,0.0223698633201351,0.0208942749686586,0.0434037196987782,0,0,0.0201430154094068,0.0587475032311127,0.0179526767441025,0.0169044560146055,0.0166978359604595,0,0.0194571456367351,0.125150571781675,0.034451870736581,0.031564162050408,0.0465217256458766,0.0672800363312196,0.0141737417260783,0,0.0361729064930367,0.01844507977497,0.0178865278672104,0.0482408181642761,0,0,0,0.0759435992203124,0.0514522394587224,0.195749440715884,0.179035001342763,0.041997396161438,0,0.0375516334960571,0.0836155357665454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alpine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butte",0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,2.08333333333333,1.4265335235378,0,0,0,0,0,0,0,0,0,0,0,1.0752688172043,0,0,0,0,0,0,0,0,0.530503978779841,1.0515247108307,1.10987791342952,0,0.2211900022119,0,0,21.6768916155419,1.03199174406605,1.15473441108545,3.3112582781457,0.333444481493831,0.497429945282706,0.408830744071954,0.163585800752495,0,0,0,0,0,0.117096018735363,0,0,0.108660219493643,0,0,0,0,0,0.0851716208159441,0.0873209919664687,0,0.297353553374963,0.0902364194188775,0.0867377916558244,0.0903995660820828,0.0846596681341009,0.089126559714795,0.0992555831265509,0.0962463907603465,0,0,0.108318890814558,0,0.195484312383931,0,0,0,0.082223318533136,0,0,0,0,0,0,0,0,0,0.0695410292072323,0,0,0,0.0575440211761998,0.0497240316244841,0,0,0,0,0,0,0,0,0.375154081140468,0.105135888135415,0,0,0.0407099820876079,0,0,0,0,0.157152398538483,0,0.446539320267924,0,0.0226515958049245,0.0204198317405865,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calaveras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contra Costa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33333333333333,0,0,6.71140939597315,4.23728813559322,0,0,0,0,0,0,0,0,2.10084033613445,2.03252032520325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8931977113795,0,0,0.212404418011895,0,0,0,0,0,0,0,0,0,0,0,0.438981562774363,0,0,0,0,0,0.278784499581823,0.274122807017544,0,0.258531540847983,0,0.398803589232303,0,0.200883889112093,0,0.449572905739547,0,0.201491033649003,0.224265530387979,0.445930880713489,0,0,0.343406593406593,0.180733779143322,0,0,0,0,0,0,0,0,0.547045951859956,0.0872143729286586,0,0,0,0,0,0,0,0.10391769718383,0.047744091668656,0,0,0,0,0.0804440511624165,0.041023957991467,0.202642457647726,0.0463048712724579,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.327011118378025,0,0.387897595034911,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Del Norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Dorado",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.50709939148073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.194743130227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.018018018018,2.29885057471264,0,2.08333333333333,0,0,3.40715502555366,0,0,0,1.58227848101266,0,0,0.524658971668416,0.516528925619835,0,0,0,0,0,0,0,0.40048057669203,0.601443464314354,0.215331610680448,0.206228088265622,0.415196180195142,0.87431693989071,0,0,0,0.991080277502478,2.15079459911578,4.19923014114079,1.29846039695789,1.11973723499552,1.09681193331383,0.084005376344086,0.0826173165895572,0.173250173250173,0.251067034898318,0.552791597567717,0.415420405450316,0.153362472203052,0,0.162561976753637,0,0.0811457783908792,0.124984376952881,0,0.109793588054458,0.0981386371814583,0.0360100828231905,0,0.100150225338007,0,0.164527805199079,0,0,0.0619501920455953,0,0.0520941862888102,0.112707805015497,0.0582207731718677,0,0,0,0,0.0637308010961698,0.0574712643678161,0,0.143740117866897,0.0777907429015947,0.072236067468487,0.0343017871231091,0,0.112262844740486,0.0345399281569494,0,0.0708943319981568,0,0.138145398031428,0.0327118089630357,0.0613177177545452,0,0,0.0319519442758092,0,0,0.0304145503208735,0.0294559486288256,0,0.0294472746547307,0,0.0869716472429988,0,0.0267165375367352,0.124678951699374,0,0,0.0237141027769214,0,0.0366696613556774,0.0357743354917182,0,0,0.0186212803992403,0.016301512780386,0.0842720301132054,0.0142332545759913,0.0865338852272236,0.0421265481506445,0.410728221136074,0.0462705904127337,0.140839402840932,0.0584396610499659,0,0.0390861654517384,0,0.0178996545366674,0.775180141294198,0.0585702990013764,0,0,0,0,0,0.0167294019238812,0.0169543250483198,0.0530729221950961,0.0161922342044755,0.0174645033968459,0.0209898828764535,0,0.0241138172172655,0,0,0.0282342311818849,0,0,0,0,0,0,0,0
